GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
2024-04-13T16:54:06.426042+00:00,G28,5166188.065362718,25831983.130442984,-3415647.467690487,23750110.611950587,35.1
2024-04-13T16:54:06.426042+00:00,G32,7778634.555468649,17837081.321539063,18376716.66489648,21302313.355845254,46.2
2024-04-13T16:54:07.426042+00:00,G02,14640094.691549022,-4839283.226366802,22092487.7355548,22741864.511740178,42.2
2024-04-13T16:54:07.426042+00:00,G03,23135586.315563623,-12048850.806091273,4490369.957840246,24081475.018574614,41.4
2024-04-13T16:54:07.426042+00:00,G08,25037141.260246888,4794221.088168066,8091219.167407471,21201766.51401485,41.8
2024-04-13T16:54:07.426042+00:00,G10,-1654294.7809414687,17349012.378355272,20150645.838514697,22845724.478212092,36.6
2024-04-13T16:54:07.426042+00:00,G21,15764474.468615636,1932893.3838321702,21849038.30594461,21699709.93146489,49.6
2024-04-13T16:54:07.426042+00:00,G27,23091816.292291008,13304395.210219728,-3064898.8269382124,22224293.455236647,39.0
2024-04-13T16:54:07.426042+00:00,G28,5165959.903914916,25832441.815161232,-3412509.6385502634,23749654.59832764,32.6
2024-04-13T16:54:07.426042+00:00,G32,7776510.322042602,17836232.755818553,18378439.46480315,21302596.64254371,46.3
2024-04-13T16:54:08.426042+00:00,G02,14640550.281377908,-4836631.752962366,22092799.9453807,22741390.84497256,44.4
2024-04-13T16:54:08.426042+00:00,G03,23135219.045997873,-12048341.11478163,4493536.2549940795,24081007.638316102,43.9
2024-04-13T16:54:08.426042+00:00,G08,25037982.61396071,4794867.866742692,8088313.15620533,21201978.75051582,47.0
2024-04-13T16:54:08.426042+00:00,G10,-1656431.2206453215,17350346.048289537,20149277.275255263,22846113.93087648,40.4
2024-04-13T16:54:08.426042+00:00,G21,15764914.59799275,1935512.4351861062,21848576.710918996,21699396.03647103,45.4
2024-04-13T16:54:08.426042+00:00,G27,23091399.568540264,13304458.229548853,-3068019.065658293,22224874.44210442,37.5
2024-04-13T16:54:08.426042+00:00,G28,5165731.7269346565,25832900.121173624,-3409371.736708722,23749187.521266647,31.6
2024-04-13T16:54:08.426042+00:00,G32,7774385.84457458,17835384.22401545,18380161.882620536,21302880.243346088,43.1
